CC_Pop,avg_nuclei,rerun16,Sample_ID,HEXTag,DECTag,DPH,Sex,FLeng_mm,TLeng_mm,mass_g,K,SGR,DNA_pg,Celltype,Smear_Pop,Smr_samp,Diam_um,avg_volume_um3,avg_volume_uL,avg_surface_um2,SAVratio,Event_,n_CC,avg_allTLmm,allTL_sd,allTL_max,allTL_min,avg_allFLmm,allFL_sd,allFL_max,allFL_min,avg_allg,allg_sd,allg_max,allg_min,avg_allk,allK_sd,allK_max,allK_min,avg_allsgr,allsgr_sd,allsgr_max,allsgr_min,avg_allploidy,allploid_sd,allploid_max,allploid_min,avg_8ploidy,max_ploid,min_ploid,sd_ploid,avg_NDiam,sd_NDiam,min_NDiam,max_NDiam,avg_CDiam,sd_CDiam,min_CDiam,max_CDiam,avg_SCDiam,sd_SCDiam,min_SCDiam,max_SCDiam,avg_SNDiam,sd_SNDiam,min_SNDiam,max_SNDiam,n_smear,avg_Nvol_um3,sd_Nvol_um3,min_Nvol_um3,max_Nvol_um3,avg_Cvol_um3,sd_Cvol_um3,min_Cvol_um3,max_Cvol_um3,avg_Nvol_uL,sd_Nvol_uL,min_Nvol_uL,max_Nvol_uL,avg_Cvol_uL,sd_Cvol_uL,min_Cvol_uL,max_Cvol_uL,avg_Nsurf_um2,sd_Nsurf_um2,min_Nsurf_um2,max_Nsurf_um2,avg_Csurf_um2,sd_Csurf_um2,min_Csurf_um2,max_Csurf_um2,avg_CSAV,sd_CSAV,min_CSAV,max_CSAV,avg_NSAV,sd_NSAV,min_NSAV,max_NSAV
PDB,48.4069,,Gar182,,,,F,1130,1253,10659,0.541830252,,,avg_nuclei,BR,BR85,13.58338,760.2698078,7.6027E-07,110.3007251,0.145081028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.6247,,183,,,,,1150,1255,12701,0.64254972,,,avg_nuclei,BR,BR101,14.62555,725.0198549,7.2502E-07,111.7690665,0.154160008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.6256,,184,,,,,1050,1125,9072,0.637155556,,,avg_nuclei,BR,BR111,12.61088,502.896883,5.02897E-07,86.43760772,0.171879387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,45.9714,,185,,,,,1340,1515,24948,0.717460237,,,avg_nuclei,BR,BR117,13.56888,677.6666075,6.77667E-07,104.0807982,0.153587025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,186,,,,,1190,1310,18144,0.807084767,,,avg_nuclei,BR,BR128,13.49888,649.5457069,6.49546E-07,101.6352353,0.15647126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.18916667,,187,,,,,915,1026,6300,0.583308718,,,avg_cell,LR,LR19,29.47567,7860.002192,7.86E-06,522.4367831,0.066467766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.40693333,,227,,,,,845,939,4250,0.51332469,,,avg_cell,LR,LR23,32.24458,8629.189986,8.62919E-06,572.5375139,0.066348929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,228,,,,,755,846,3200,0.528492574,,,avg_cell,LR,LR50,30.44633,7919.475602,7.91948E-06,532.9742878,0.067299189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,50.2336,,229,,,,F,1090,1203,6300,0.361862573,,,avg_cell,LR,LR56,29.19305,7170.742373,7.17074E-06,496.606461,0.06925454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.6247,,231,,,,,930,1052,6050,0.519646678,,,avg_cell,LR,LR63,31.95553,9570.496044,9.5705E-06,600.2481175,0.0627186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.40693333,,232,,,,,1014,1120,5950,0.423509247,,,avg_cell,LR,LR66,29.33173,6940.18251,6.94018E-06,489.7166334,0.070562501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,234,,,,,900,1000,5500,0.55,,,avg_cell,LR,LR85,29.50383,7056.373734,7.05637E-06,495.2455205,0.07018414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
